https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1686956400000,2023-06-16 23:00:00,BTC/USD,26361.74,26369.58,26323.07,26330.38,5.05884854,133201.4044206452
1686952800000,2023-06-16 22:00:00,BTC/USD,26276.4,26385.35,26276.4,26361.74,8.61987222,227234.8302968628
1686949200000,2023-06-16 21:00:00,BTC/USD,26392.47,26402.55,26273.7,26276.4,20.91956493,549690.855926652
1686945600000,2023-06-16 20:00:00,BTC/USD,26356.73,26422.75,26315.96,26392.47,18.82111867,496735.8098644149
1686942000000,2023-06-16 19:00:00,BTC/USD,26342.28,26395.19,26266.75,26356.73,25.21076169,664473.2389576737
1686938400000,2023-06-16 18:00:00,BTC/USD,26297.28,26476.99,26260.0,26342.28,44.97607123,1184772.2616406044
1686934800000,2023-06-16 17:00:00,BTC/USD,25937.9,26298.67,25937.9,26297.28,80.74885046,2123475.1302247485
1686931200000,2023-06-16 16:00:00,BTC/USD,25817.96,25964.58,25746.74,25937.9,32.6904335,847921.19507965
1686927600000,2023-06-16 15:00:00,BTC/USD,25584.56,25841.62,25525.18,25817.96,53.54292112,1382368.9957593153
1686924000000,2023-06-16 14:00:00,BTC/USD,25462.49,25677.75,25172.73,25584.56,49.22255262,1259337.3508595473
1686920400000,2023-06-16 13:00:00,BTC/USD,25544.28,25593.51,25462.49,25462.49,6.33799426,161381.1154653074
1686916800000,2023-06-16 12:00:00,BTC/USD,25450.01,25561.7,25450.01,25544.28,4.27809623,109280.8879660644
1686913200000,2023-06-16 11:00:00,BTC/USD,25547.11,25547.11,25450.01,25450.01,4.36201676,111013.3701621676
1686909600000,2023-06-16 10:00:00,BTC/USD,25576.77,25576.77,25541.52,25547.11,2.87634543,73482.3130982073
1686906000000,2023-06-16 09:00:00,BTC/USD,25526.22,25600.15,25526.22,25576.77,4.1836939,107005.376630703
1686902400000,2023-06-16 08:00:00,BTC/USD,25515.98,25601.58,25515.98,25526.22,1.29935952,33167.73696661441
1686898800000,2023-06-16 07:00:00,BTC/USD,25549.27,25584.47,25515.12,25515.98,0.5771565,14726.713710869999
1686895200000,2023-06-16 06:00:00,BTC/USD,25538.19,25600.06,25517.89,25549.27,5.01403953,128105.0497426431
1686891600000,2023-06-16 05:00:00,BTC/USD,25511.5,25538.19,25460.0,25538.19,5.20112079,132827.2109479701
1686888000000,2023-06-16 04:00:00,BTC/USD,25553.76,25603.45,25506.27,25511.5,8.6372495,220349.19061924997
1686884400000,2023-06-16 03:00:00,BTC/USD,25532.2,25576.37,25503.86,25553.76,7.35625581,187979.9954673456
1686880800000,2023-06-16 02:00:00,BTC/USD,25501.64,25532.66,25463.85,25532.2,3.885546,99206.53758120001
1686877200000,2023-06-16 01:00:00,BTC/USD,25480.67,25552.4,25437.12,25501.64,4.7405666,120892.222829224
1686873600000,2023-06-16 00:00:00,BTC/USD,25574.55,25574.55,25428.89,25480.67,14.30192029,364422.5112757943
1686870000000,2023-06-15 23:00:00,BTC/USD,25614.72,25617.23,25534.49,25574.55,8.38183479,214361.65292859447
1686866400000,2023-06-15 22:00:00,BTC/USD,25574.02,25638.42,25525.92,25614.72,20.44738969,523754.16164023685
1686862800000,2023-06-15 21:00:00,BTC/USD,25561.3,25739.65,25488.99,25574.02,30.20647253,772500.9326116706
1686859200000,2023-06-15 20:00:00,BTC/USD,25437.13,25576.37,25208.09,25561.3,35.95455574,919045.1856368621
1686855600000,2023-06-15 19:00:00,BTC/USD,25365.84,25485.93,25328.3,25437.13,38.49404853,979178.116683919
1686852000000,2023-06-15 18:00:00,BTC/USD,25089.96,25367.09,25056.89,25365.84,77.00932652,1953406.2550140768
1686848400000,2023-06-15 17:00:00,BTC/USD,24963.99,25120.2,24935.54,25089.96,44.05294021,1105286.5077512916
1686844800000,2023-06-15 16:00:00,BTC/USD,24920.2,24967.94,24887.96,24963.99,66.53944883,1661090.1351976318
1686841200000,2023-06-15 15:00:00,BTC/USD,24965.89,24990.96,24913.8,24920.2,19.43583059,484344.785468918
